Method,Seed,bin,left,right,count,mean_confidence,accuracy,weight
full_rcsmoe,11,2,0.06666666666666667,0.13333333333333333,420,0.11925813555717468,0.10714285714285714,0.003568849046182606
full_rcsmoe,11,3,0.13333333333333333,0.2,594,0.1621195673942566,0.27441077441077444,0.005047372222458257
full_rcsmoe,11,4,0.2,0.26666666666666666,460,0.23468375205993652,0.5108695652173914,0.00390873943153333
full_rcsmoe,11,5,0.26666666666666666,0.3333333333333333,605,0.2996300458908081,0.5107438016528926,0.005140842078429707
full_rcsmoe,11,6,0.3333333333333333,0.4,708,0.3680761158466339,0.556497175141243,0.006016059820707822
full_rcsmoe,11,7,0.4,0.4666666666666667,1128,0.436685174703598,0.699468085106383,0.009584908866890427
full_rcsmoe,11,8,0.4666666666666667,0.5333333333333333,11335,0.5103464126586914,0.5992942214380238,0.09631643794876152
full_rcsmoe,11,9,0.5333333333333333,0.6,36361,0.5694435238838196,0.6889524490525563,0.3089688575434422
full_rcsmoe,11,10,0.6,0.6666666666666666,11201,0.6319947242736816,0.9212570306222658,0.0951778051578366
full_rcsmoe,11,11,0.6666666666666666,0.7333333333333333,1456,0.6924542188644409,0.7527472527472527,0.012372010026766368
full_rcsmoe,11,12,0.7333333333333333,0.8,2360,0.7788558006286621,0.9792372881355932,0.02005353273569274
full_rcsmoe,11,13,0.8,0.8666666666666667,1701,0.8453742265701294,0.9800117577895355,0.014453838637039555
full_rcsmoe,11,14,0.8666666666666667,0.9333333333333333,2811,0.9085102081298828,0.984347207399502,0.023885796830522155
full_rcsmoe,11,15,0.9333333333333333,1.0,46545,0.9911711812019348,0.9998066387367064,0.39550494965373667
full_rcsmoe,22,1,0.0,0.06666666666666667,0,,,0.0
full_rcsmoe,22,2,0.06666666666666667,0.13333333333333333,253,0.12233654409646988,0.06324110671936758,0.0021498066873433318
full_rcsmoe,22,3,0.13333333333333333,0.2,628,0.1607603132724762,0.11305732484076433,0.005336279050006373
full_rcsmoe,22,4,0.2,0.26666666666666666,344,0.2353367656469345,0.2761627906976744,0.00292305731401623
full_rcsmoe,22,5,0.26666666666666666,0.3333333333333333,481,0.3022906184196472,0.3866943866943867,0.004087181883842461
full_rcsmoe,22,6,0.3333333333333333,0.4,707,0.36694103479385376,0.5403111739745403,0.006007562561074054
full_rcsmoe,22,7,0.4,0.4666666666666667,13208,0.45029038190841675,0.6474863718958207,0.1122318052428092
full_rcsmoe,22,8,0.4666666666666667,0.5333333333333333,8358,0.5076608657836914,0.5366116295764537,0.07102009601903386
full_rcsmoe,22,9,0.5333333333333333,0.6,30134,0.5726444125175476,0.6715670007300724,0.2560564218039682
full_rcsmoe,22,10,0.6,0.6666666666666666,11412,0.6150301098823547,0.7934630213810024,0.09697072694056166
full_rcsmoe,22,11,0.6666666666666666,0.7333333333333333,834,0.6992592811584473,0.9004796163069544,0.007086714534562603
full_rcsmoe,22,12,0.7333333333333333,0.8,782,0.7706548571586609,0.928388746803069,0.006644857033606662
full_rcsmoe,22,13,0.8,0.8666666666666667,2420,0.8417696356773376,0.9714876033057851,0.020563368313718827
full_rcsmoe,22,14,0.8666666666666667,0.9333333333333333,4118,0.8950710296630859,0.9859154929577465,0.03499171517185708
full_rcsmoe,22,15,0.9333333333333333,1.0,44006,0.9922357797622681,0.9999772758260237,0.37393040744359946
no_cost_objective,11,1,0.0,0.06666666666666667,0,,,0.0
no_cost_objective,11,2,0.06666666666666667,0.13333333333333333,291,0.12230886518955231,0.140893470790378,0.00247270255342652
no_cost_objective,11,3,0.13333333333333333,0.2,1039,0.168087437748909,0.17324350336862368,0.008828652759485066
no_cost_objective,11,4,0.2,0.26666666666666666,755,0.22838722169399261,0.3218543046357616,0.006415431023494923
no_cost_objective,11,5,0.26666666666666666,0.3333333333333333,526,0.3006236255168915,0.6273764258555133,0.004469558567362026
no_cost_objective,11,6,0.3333333333333333,0.4,674,0.36710694432258606,0.6498516320474778,0.005727152993159706
no_cost_objective,11,7,0.4,0.4666666666666667,671,0.4307798445224762,0.6378539493293591,0.005701661214258402
no_cost_objective,11,8,0.4666666666666667,0.5333333333333333,2694,0.5190197825431824,0.4261321455085375,0.022891617453371288
no_cost_objective,11,9,0.5333333333333333,0.6,4634,0.5493761301040649,0.7343547690979715,0.03937630114288142
no_cost_objective,11,10,0.6,0.6666666666666666,2481,0.6320159435272217,0.841596130592503,0.02108170115137868
no_cost_objective,11,11,0.6666666666666666,0.7333333333333333,4421,0.6982656717300415,0.8780818819271659,0.03756638484088881
no_cost_objective,11,12,0.7333333333333333,0.8,15245,0.7822614908218384,0.9925877336831748,0.12954072311679482
no_cost_objective,11,13,0.8,0.8666666666666667,6050,0.8269855976104736,0.9871074380165289,0.05140842078429706
